911 БАДЯГА ГЕЛЬ ДЛЯ ТЕЛА КОСМЕТИЧЕСКИЙ ОТ СИНЯКОВ И УШИБОВ 100МЛ;ТВИНС ТЭК АО;РОССИЯ;6429;6.20;1.000;6.20;01.06.2026;Парфюмерно-косметическая продукция и  туалетные принадлежности;11.09.2024;000007857;3.98;3.98;Ясса ООО ПКФ;112857
АДАПТОЛ КАПС., 300МГ, №20;ОЛАЙНФАРМ;ЛАТВИЯ;150523;27.03;0.500;13.52;31.05.2026;Лексредства;28.02.2024;000003034;19.50;19.70;ИНТЕРФАРМАКС;109737
АДАПТОЛ ТАБЛ., 500МГ, №20;ОЛАЙНФАРМ;ЛАТВИЯ;851123;239.68;0.500;19.84;01.11.2027;Лексредства;20.03.2024;000003597;30.31;31.83;Оздоровление ЧУП;110122
АЕВИТ КАПС., 200МГ, №30;МИНСКИНТЕРКАПС;БЕЛАРУСЬ;2040524;4.56;3.000;13.68;31.05.2026;Лексредства;24.09.2024;000008244;3.32;3.32;МИНСКИНТЕРКАПС;112994
АЕВИТ КАПС., 200МГ, №30;МИНСКИНТЕРКАПС;БЕЛАРУСЬ;2040524;4.56;2.000;9.12;31.05.2026;Лексредства;24.09.2024;000008216;3.32;3.32;МИНСКИНТЕРКАПС;113059
АЗИТРОМИЦИН КАПС., 250МГ, №6;БЕЛМЕДПРЕПАРАТЫ РУП;БЕЛАРУСЬ;011023;5.50;1.000;5.50;31.10.2026;Лексредства;21.02.2024;000002835;4.00;4.00;Белмедпрепараты;109578
АЗИТРОМИЦИН ТАБЛ., 500МГ, №6;БОРИСОВСКИЙ ЗМП;БЕЛАРУСЬ;3060324;15.74;1.500;23.61;31.03.2026;Лексредства;04.09.2024;0340944;11.45;11.45;Борисовский ЗМП;112618
АЗИТРОМИЦИН ТАБЛ., 500МГ, №6;БОРИСОВСКИЙ ЗМП;БЕЛАРУСЬ;3060324;15.74;2.000;31.48;31.03.2026;Лексредства;11.09.2024;000007869;11.45;11.45;Борисовский ЗМП;112774
АКАРД ТАБЛ.П/О, 75МГ, №60;POLPHARMA SA;ПОЛЬША;011023;10.70;1.000;10.70;01.10.2025;Лексредства;07.08.2024;0340155;7.73;7.80;Брититрейд;112093
АКВА МАРИС CLASSIC ФЛ., СПРЕЙ НАЗ., 30МЛ;JADRAN;ХОРВАТИЯ;11054;17.49;2.000;34.98;30.04.2027;Товары  мед назначения;11.09.2024;0341111;11.78;12.37;Витвар ООО;112843
АКВА МАРИС STRONG ФЛ., СПРЕЙ НАЗ., 30МЛ;JADRAN;ХОРВАТИЯ;098545;18.16;1.000;18.16;01.04.2027;Товары  мед назначения;24.09.2024;0341348;12.61;12.73;Брититрейд;113109
АКВА МАРИС БЕБИ ФЛ., СПРЕЙ НАЗ., 150МЛ;JADRAN;ХОРВАТИЯ;06744;26.90;1.000;26.90;31.03.2027;Товары  мед назначения;11.09.2024;0341111;18.67;18.86;Комфарм;112845
АКВА МАРИС ДЕКСПАНТЕНОЛ ФЛ., СПРЕЙ НАЗ., 30МЛ;JADRAN;ХОРВАТИЯ;42953;19.34;2.000;38.68;01.12.2026;Товары  мед назначения;11.09.2024;0341111;12.93;13.71;Оздоровление ЧУП;112846
АКВА МАРИС ЭКТОИН ФЛ., СПРЕЙ НАЗ., 20МЛ;JADRAN;ХОРВАТИЯ;07054;23.64;1.000;23.64;01.03.2027;Товары  мед назначения;11.09.2024;0341111;15.92;16.72;Оздоровление ЧУП;112847
АКВАВИТ D3 ФЛ., КАПЛИ, 15000МЕ/МЛ 10МЛ;ФОРТИВА МЕД ООО;БЕЛАРУСЬ;131223;9.79;2.000;19.58;30.11.2025;Лексредства;24.09.2024;000008216;7.12;7.12;Фортива Мед ООО;113060
АКВАДЕТРИМ ФЛ., КАПЛИ ОРАЛ., 15000ЕД/МЛ 10МЛ;MEDANA PHARMA;ПОЛЬША;021223;13.38;1.000;13.38;01.12.2026;Лексредства;24.09.2024;000008216;9.66;9.75;Брититрейд;113061
АКВАСОЛ ФЛ., СПРЕЙ НАЗ., 30МЛ;РУБИКОН ООО;БЕЛАРУСЬ;0010424;7.92;1.000;7.92;28.02.2027;Товары  мед назначения;24.09.2024;0341348;5.50;5.55;ФАРМПРОЕКТ ООО;113110
АКТОВИР МАЗЬ, ТУБА, 4Г;БЕЛМЕДПРЕПАРАТЫ РУП;БЕЛАРУСЬ;020624;5.59;1.000;5.59;30.06.2026;Лексредства;28.08.2024;000007464;4.07;4.07;Белмедпрепараты;112463
АЛБЕНДАЗОЛ ТАБЛ., 400МГ №1;ЛЕКФАРМ СООО;БЕЛАРУСЬ;010324;3.55;2.000;7.10;31.03.2027;Лексредства;04.09.2024;000007667;2.57;2.59;ФАРМПРОЕКТ ООО;112577
АЛБЕНДАЗОЛ ТАБЛ.П/О, 400МГ, №3;БОРИСОВСКИЙ ЗМП;БЕЛАРУСЬ;4070424;9.48;1.000;9.48;30.04.2026;Лексредства;21.08.2024;00007224;6.90;6.90;Борисовский ЗМП;112356
АЛКОДЕТОКС ТАБЛ., №10;КВАДРАТ С;РОССИЯ;0211223;11.31;1.000;11.31;08.12.2026;БАДы;06.03.2024;0287127;7.25;7.25;ПромоСолюшн ООО;109960
АЛЛЕРГОЗАН КРЕМ, ТУБА, 1% 18Г;SOPHARMA;БОЛГАРИЯ;401Н23;11.30;2.000;22.60;31.07.2026;Лексредства;12.06.2024;0075728;8.16;8.24;Фармико;111241
АЛЛЕРГОЗАН ТАБЛ.П/О, 25МГ, №20;SOPHARMA;БОЛГАРИЯ;11222В;5.18;2.000;10.36;01.12.2027;Лексредства;31.01.2024;000002248;3.75;3.78;Брититрейд;109004
АЛЛЕРКАПС КАПС., 10МГ, №20;МИНСКИНТЕРКАПС РУП;БЕЛАРУСЬ;2020524;5.29;1.000;5.29;31.05.2026;Лексредства;21.08.2024;00007224;3.85;3.85;МИНСКИНТЕРКАПС;112357
АЛЛЕРКАПС КАПС., 5МГ, №20;МИНСКИНТЕРКАПС РУП;БЕЛАРУСЬ;1010124;3.27;1.000;3.27;31.01.2026;Лексредства;14.08.2024;000007015;2.38;2.38;МИНСКИНТЕРКАПС;112238
